epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,1149.66,0.88783,0.71037,1.08544,0.5677,0.41,0.42496,0.22634,1.7675,1.78494,1.81541,0.000170701,0.000170701,0.000170701
138,1157.56,0.89512,0.71142,1.08601,0.55768,0.44,0.43523,0.23145,1.76564,1.83467,1.81139,0.000159699,0.000159699,0.000159699
139,1166.61,0.88237,0.7014,1.08127,0.56132,0.45,0.43704,0.23558,1.75278,1.80721,1.80536,0.000148696,0.000148696,0.000148696
140,1175.38,0.84895,0.69456,1.06311,0.5986,0.42,0.44709,0.2423,1.75579,1.77183,1.82343,0.000137694,0.000137694,0.000137694
141,1186.1,0.84274,0.68764,1.03639,0.54282,0.415,0.42972,0.22786,1.80492,1.8612,1.85836,0.000126692,0.000126692,0.000126692
142,1195.29,0.87006,0.68608,1.05792,0.57989,0.395,0.42418,0.22346,1.80478,1.88566,1.84539,0.00011569,0.00011569,0.00011569
143,1203.76,0.80829,0.63355,1.01101,0.53629,0.40478,0.4155,0.21924,1.79407,1.89068,1.82465,0.000104688,0.000104688,0.000104688
144,1211.72,0.80465,0.60527,1.0127,0.46373,0.485,0.4247,0.2244,1.75992,1.81037,1.81121,9.36854e-05,9.36854e-05,9.36854e-05
145,1220.34,0.77927,0.56859,1.00393,0.49829,0.46,0.43683,0.23864,1.7372,1.7526,1.79576,8.26832e-05,8.26832e-05,8.26832e-05
146,1228.95,0.79603,0.57048,1.00321,0.48926,0.455,0.43677,0.24012,1.72178,1.74596,1.78438,7.1681e-05,7.1681e-05,7.1681e-05
147,1236.37,0.76267,0.57043,0.99707,0.48747,0.45,0.42858,0.23964,1.72237,1.7564,1.78738,6.06788e-05,6.06788e-05,6.06788e-05
148,1244.85,0.75867,0.56997,0.98791,0.59082,0.38,0.4305,0.23515,1.73236,1.76789,1.8073,4.96766e-05,4.96766e-05,4.96766e-05
149,1252.31,0.77385,0.58652,0.99698,0.53976,0.40461,0.42865,0.23542,1.73796,1.77009,1.80726,3.86744e-05,3.86744e-05,3.86744e-05
150,1260.8,0.76664,0.55383,1.01237,0.53345,0.40019,0.42686,0.23697,1.73889,1.76662,1.80763,2.76722e-05,2.76722e-05,2.76722e-05
