epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,1982.51,1.02269,0.93286,1.29024,0.7107,0.4299,0.50237,0.2698,1.66863,1.82429,1.9276,0.000315792,0.000315792,0.000315792
133,1997.96,0.99632,0.91384,1.25991,0.58142,0.5,0.50213,0.26532,1.70676,1.88364,1.941,0.000305478,0.000305478,0.000305478
134,2012.08,0.97223,0.89704,1.24485,0.56673,0.505,0.49395,0.25811,1.6618,1.81165,1.87843,0.000295163,0.000295163,0.000295163
135,2027.65,0.99504,0.86747,1.2497,0.57525,0.475,0.50071,0.2724,1.64999,1.80193,1.86888,0.000284849,0.000284849,0.000284849
136,2043.17,1.03361,0.91225,1.2664,0.57566,0.4816,0.49777,0.26497,1.66526,1.78751,1.90506,0.000274534,0.000274534,0.000274534
137,2058.4,0.97098,0.85049,1.2362,0.65047,0.46,0.49118,0.26199,1.64711,1.77413,1.90961,0.00026422,0.00026422,0.00026422
138,2072.98,0.97607,0.85903,1.25016,0.70691,0.44,0.50445,0.26762,1.62143,1.71759,1.8889,0.000253905,0.000253905,0.000253905
139,2088.58,0.97502,0.86866,1.23198,0.66995,0.48,0.52297,0.28148,1.63393,1.72407,1.90889,0.00024359,0.00024359,0.00024359
140,2102.77,0.95028,0.82659,1.22169,0.65498,0.505,0.52506,0.27945,1.65101,1.77431,1.89288,0.000233276,0.000233276,0.000233276
141,2118.12,0.96336,0.86656,1.22454,0.67275,0.485,0.5219,0.28773,1.59748,1.77287,1.83851,0.000222961,0.000222961,0.000222961
142,2133.24,0.96472,0.83645,1.23444,0.6486,0.495,0.52224,0.28446,1.61916,1.75674,1.85893,0.000212647,0.000212647,0.000212647
143,2148.88,0.92533,0.83588,1.1957,0.6829,0.445,0.51122,0.27871,1.62589,1.75643,1.8544,0.000202332,0.000202332,0.000202332
144,2163.79,0.94539,0.85113,1.22168,0.6956,0.45,0.50962,0.27147,1.66723,1.81692,1.88757,0.000192018,0.000192018,0.000192018
145,2178.44,0.9464,0.84245,1.22545,0.65396,0.47,0.50096,0.26518,1.65007,1.7812,1.88896,0.000181703,0.000181703,0.000181703
146,2193.2,0.93977,0.82832,1.2083,0.63316,0.4574,0.50598,0.26874,1.67424,1.76733,1.91635,0.000171388,0.000171388,0.000171388
147,2208.35,0.92124,0.8033,1.20489,0.65281,0.46,0.49402,0.26941,1.67213,1.82324,1.92306,0.000161074,0.000161074,0.000161074
