epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,709.429,1.16824,1.08407,1.25425,0.57574,0.45462,0.43656,0.25348,1.60312,1.83257,1.65941,0.000297226,0.000297226,0.000297226
85,718.033,1.13724,1.07676,1.22381,0.61971,0.465,0.48494,0.28473,1.60415,1.76539,1.65992,0.000280723,0.000280723,0.000280723
86,725.361,1.18988,1.08368,1.28217,0.6123,0.46,0.47505,0.27925,1.58615,1.78027,1.62164,0.00026422,0.00026422,0.00026422
87,733.808,1.17092,1.09768,1.25536,0.59274,0.495,0.4837,0.27916,1.59355,1.67484,1.6305,0.000247716,0.000247716,0.000247716
88,742.546,1.15626,1.05645,1.25354,0.58925,0.47,0.48054,0.27809,1.57842,1.67659,1.62196,0.000231213,0.000231213,0.000231213
89,750.029,1.14248,1.04121,1.22292,0.65799,0.41,0.4758,0.28037,1.5813,1.65881,1.61251,0.00021471,0.00021471,0.00021471
90,758.243,1.1274,1.04099,1.23023,0.61548,0.44819,0.49247,0.28978,1.56318,1.67574,1.59931,0.000198206,0.000198206,0.000198206
91,769.112,1.09803,1.05654,1.20995,0.72449,0.375,0.46893,0.27726,1.5954,1.7412,1.62998,0.000181703,0.000181703,0.000181703
92,777.231,1.08468,0.99189,1.18282,0.6447,0.405,0.45731,0.27327,1.60742,1.71572,1.64708,0.0001652,0.0001652,0.0001652
93,785.571,1.10486,0.98526,1.21348,0.57541,0.445,0.44578,0.263,1.65113,1.80827,1.67405,0.000148696,0.000148696,0.000148696
94,793.837,1.0094,0.92301,1.15397,0.67153,0.41911,0.45647,0.26749,1.65785,1.74888,1.67314,0.000132193,0.000132193,0.000132193
95,801.367,0.98705,0.87113,1.13663,0.60015,0.42777,0.45403,0.26888,1.6421,1.73662,1.66333,0.00011569,0.00011569,0.00011569
96,809.527,1.00493,0.88574,1.14114,0.59352,0.43,0.46466,0.27342,1.61093,1.71101,1.63741,9.91865e-05,9.91865e-05,9.91865e-05
97,817.419,0.97768,0.84358,1.12806,0.58849,0.42,0.45585,0.26444,1.60697,1.75438,1.62668,8.26832e-05,8.26832e-05,8.26832e-05
98,825.34,0.97095,0.83633,1.13688,0.5884,0.43,0.46183,0.27153,1.60574,1.74558,1.64386,6.61799e-05,6.61799e-05,6.61799e-05
99,833.62,1.0034,0.88317,1.14532,0.58478,0.45067,0.47141,0.27617,1.60659,1.72637,1.64971,4.96766e-05,4.96766e-05,4.96766e-05
100,841.301,0.96706,0.83009,1.13194,0.63772,0.425,0.46756,0.27665,1.59406,1.70789,1.64067,3.31733e-05,3.31733e-05,3.31733e-05
